#t x y z vx vy vz
0.00 -377.81 611.48 -284.58 72.96 -71.98 49.34
0.07 -372.46 606.25 -281.08 74.92 -76.53 52.72
0.14 -367.22 600.88 -277.49 73.47 -75.61 50.52
0.21 -361.78 595.42 -273.97 73.58 -77.74 52.04
0.29 -356.46 589.88 -270.49 71.60 -80.31 50.34
0.36 -351.24 584.12 -266.97 71.91 -82.79 48.54
0.43 -346.10 578.26 -263.58 68.49 -81.81 45.79
0.50 -341.24 572.22 -260.11 66.21 -82.48 44.18
0.57 -336.53 566.19 -256.74 64.88 -82.18 44.38
0.64 -331.96 560.20 -253.48 63.73 -83.97 44.62
0.71 -327.73 554.33 -250.38 57.55 -82.64 43.93
0.79 -323.78 548.49 -247.25 52.32 -80.67 43.81
0.86 -320.20 542.96 -244.36 46.69 -76.42 41.95
0.93 -316.73 537.63 -241.50 45.17 -72.34 40.05
1.00 -313.44 532.56 -238.48 45.77 -70.29 44.41
1.07 -310.33 527.67 -235.11 42.21 -65.22 48.70
1.14 -307.06 522.98 -231.59 45.34 -62.58 49.41
1.21 -303.81 518.47 -227.89 48.41 -63.12 54.84
1.29 -300.38 514.00 -223.89 47.51 -61.28 58.81
1.36 -296.75 509.68 -219.84 52.54 -61.44 59.89
1.43 -292.95 505.26 -215.52 54.78 -62.50 62.60
1.50 -288.91 500.84 -211.07 59.10 -62.86 62.83
1.57 -284.62 496.34 -206.56 60.59 -63.85 63.74
1.64 -280.16 491.73 -201.88 63.81 -65.35 66.20
1.71 -275.57 487.06 -197.14 70.32 -68.40 66.82
1.79 -270.58 482.13 -192.16 73.91 -69.20 68.16
1.86 -265.42 477.29 -187.35 76.92 -71.98 69.46
1.93 -260.03 472.20 -182.23 78.32 -71.01 70.92
2.00 -254.40 467.04 -177.28 79.38 -73.42 71.54
2.07 -248.72 461.66 -172.16 81.66 -77.86 72.44
2.14 -242.67 456.03 -167.03 84.25 -81.30 75.13
2.21 -236.62 450.23 -161.73 85.95 -81.96 73.11
2.29 -230.40 444.29 -156.39 89.38 -83.17 71.00
