#t x y z vx vy vz
0.00 -476.25 491.47 -412.34 45.33 101.98 142.02
0.07 -472.87 498.93 -402.00 48.24 106.43 147.11
0.14 -469.14 506.71 -391.36 58.54 111.42 150.78
0.21 -464.70 514.90 -380.29 63.14 116.57 159.97
0.29 -459.91 523.43 -368.50 71.81 123.80 170.88
0.36 -454.39 532.50 -355.82 81.39 129.04 183.43
0.43 -448.05 541.93 -342.35 96.31 133.64 191.17
0.50 -440.86 551.49 -328.39 108.41 135.03 202.87
0.57 -432.25 561.19 -313.58 130.05 136.89 210.53
0.64 -422.08 570.93 -298.01 153.81 133.87 222.67
0.71 -410.38 580.36 -281.63 177.90 126.65 235.18
0.79 -396.72 588.94 -264.54 205.42 113.67 242.98
0.86 -380.92 596.29 -247.10 236.44 93.19 247.58
0.93 -362.85 601.85 -229.33 263.48 59.81 245.42
1.00 -343.43 605.14 -212.06 280.17 32.02 237.29
1.07 -323.19 606.37 -195.55 287.86 1.99 220.24
1.14 -302.70 605.49 -180.47 286.56 -25.16 203.89
1.21 -282.28 602.78 -166.45 281.44 -53.33 186.60
1.29 -262.55 598.36 -153.57 271.24 -68.65 175.54
1.36 -243.37 592.96 -141.40 262.72 -81.43 164.15
1.43 -224.83 586.57 -130.16 256.69 -96.41 150.28
1.50 -207.04 579.28 -119.84 244.56 -107.60 139.32
1.57 -189.87 571.29 -110.34 237.02 -115.52 129.88
1.64 -173.27 562.83 -101.36 227.44 -122.79 119.67
1.71 -157.46 553.83 -93.08 217.70 -131.02 112.45
1.79 -142.27 544.26 -85.36 207.54 -135.56 104.80
1.86 -127.76 534.40 -78.13 199.10 -141.79 98.47
1.93 -113.67 524.06 -71.42 190.69 -147.65 90.26
2.00 -100.29 513.27 -65.19 182.50 -155.01 84.07
2.07 -87.61 502.05 -59.36 171.14 -157.59 79.95
2.14 -75.63 490.77 -53.89 168.14 -157.21 73.46
2.21 -64.02 479.33 -48.97 156.66 -161.27 68.14
2.29 -52.96 467.57 -44.23 149.96 -165.40 63.31
2.36 -42.40 455.63 -39.84 144.12 -170.01 58.46
2.43 -32.35 443.40 -35.71 134.61 -170.64 56.20
2.50 -23.08 431.08 -31.85 124.32 -176.33 51.56
2.57 -14.40 418.43 -28.26 116.45 -179.02 47.28
2.64 -6.21 405.44 -24.99 111.43 -185.65 44.29
2.71 1.30 392.10 -22.05 102.79 -186.96 38.36
2.79 8.51 378.66 -19.50 97.64 -189.99 33.24
2.86 15.21 364.84 -17.15 88.88 -195.97 29.90
2.93 21.05 350.70 -15.15 76.86 -200.40 24.59
3.00 26.26 336.29 -13.48 68.85 -203.26 21.76
3.07 30.79 321.57 -11.95 58.21 -207.92 18.73
3.14 34.53 306.51 -10.74 47.62 -213.86 15.54
3.21 37.51 291.13 -9.90 36.77 -218.24 8.78
3.29 39.53 275.31 -9.47 20.88 -223.21 3.25
3.36 40.50 259.25 -9.31 4.83 -228.18 -0.96
3.43 40.18 242.84 -9.53 -13.28 -231.92 -7.11
3.50 38.60 226.04 -10.30 -32.23 -238.68 -14.09
3.57 35.60 208.77 -11.59 -54.36 -244.94 -20.53
3.64 30.90 191.16 -13.41 -79.97 -246.21 -32.18
3.71 23.98 173.64 -16.06 -113.68 -243.07 -44.04
3.79 14.47 156.62 -19.65 -152.04 -232.36 -56.77
3.86 2.43 140.73 -24.22 -188.07 -210.41 -71.71
3.93 -12.10 126.71 -29.65 -219.98 -178.96 -81.13
4.00 -28.74 115.70 -35.60 -246.16 -128.94 -86.13
4.07 -47.00 108.43 -41.57 -260.07 -70.27 -78.51
4.14 -65.25 105.84 -46.87 -250.82 -1.98 -66.68
4.21 -82.18 108.25 -50.97 -219.33 69.45 -47.08
4.29 -96.00 115.28 -53.68 -166.15 123.71 -29.06
4.36 -105.56 125.39 -55.01 -104.64 154.61 -10.30
4.43 -110.98 137.04 -55.07 -46.87 169.02 6.85
4.50 -112.59 149.10 -54.14 1.30 169.70 16.36
4.57 -111.06 161.07 -52.71 39.51 165.45 25.65
4.64 -106.94 172.64 -50.61 71.77 160.41 30.74
4.71 -100.72 183.76 -48.17 100.62 153.75 39.51
4.79 -92.70 194.39 -45.03 125.20 145.91 49.60
4.86 -82.75 204.45 -41.14 148.53 137.66 59.54
4.93 -71.54 213.94 -36.38 167.27 129.80 72.01
