#t x y z vx vy vz
0.00 -0.89 2.34 -1.44 -1.84 1.84 -0.41
0.07 -1.16 2.43 -1.48 -3.03 6.38 -0.34
0.14 -1.49 2.72 -1.57 -4.73 7.98 -0.92
0.21 -2.07 3.26 -1.60 -3.26 7.70 0.07
0.29 -2.32 3.81 -1.61 -4.20 7.78 -0.19
0.36 -2.62 4.39 -1.57 -6.01 7.15 0.59
0.43 -2.99 5.01 -1.64 -8.27 11.77 -2.28
0.50 -3.34 5.69 -1.82 -4.28 10.09 -2.79
0.57 -3.63 6.15 -2.04 -3.16 6.52 -1.92
0.64 -3.96 6.67 -2.20 -4.97 4.39 -1.81
0.71 -4.49 7.25 -2.29 -7.23 6.98 -0.91
0.79 -4.93 8.11 -2.55 -7.10 10.52 -6.51
0.86 -5.38 8.88 -3.09 -8.40 7.32 -9.62
0.93 -6.04 9.66 -3.65 -10.26 11.15 -9.24
1.00 -6.64 10.33 -4.29 -5.86 10.49 -7.73
1.07 -7.04 10.97 -4.88 -4.30 10.88 -8.51
1.14 -7.55 11.96 -5.62 -5.33 17.00 -10.64
1.21 -8.11 13.17 -6.39 -8.13 15.39 -11.18
1.29 -8.74 14.41 -7.14 -9.55 16.44 -10.92
1.36 -9.31 15.76 -7.94 -11.56 18.31 -11.25
1.43 -9.96 17.09 -8.82 -11.07 14.32 -13.49
1.50 -10.72 18.33 -9.81 -12.98 21.82 -14.82
1.57 -11.41 19.75 -10.84 -11.10 23.58 -15.71
1.64 -12.30 21.50 -11.78 -13.88 25.80 -12.70
1.71 -13.23 23.35 -12.74 -11.95 27.13 -14.23
1.79 -14.27 25.33 -13.75 -13.89 25.35 -15.65
1.86 -15.34 27.26 -14.82 -17.84 27.59 -15.17
1.93 -16.63 29.34 -15.78 -24.05 29.75 -15.03
2.00 -18.19 31.75 -16.87 -22.38 34.79 -15.28
2.07 -19.74 34.21 -17.99 -22.31 39.50 -16.57
2.14 -21.33 37.04 -19.18 -17.87 40.52 -15.55
2.21 -22.78 39.89 -20.43 -19.41 39.45 -19.05
2.29 -24.37 42.85 -21.83 -23.44 39.10 -19.20
